code,species
ameoys,American Oystercatcher
rosspo1,Roseate Spoonbill
rucspa1,Rufous-collared Sparrow
tromoc,Tropical Mockingbird
bichaw1,Bicolored Hawk
roahaw,Roadside Hawk
cotfly1,Common Tody-Flycatcher
blkpho,Black Phoebe
mawtyr1,Masked Water-Tyrant
socfly1,Social Flycatcher
trokin,Tropical Kingbird
srwswa1,Southern Rough-winged Swallow
whtswa1,White-thighed Swallow
bawswa1,Blue-and-white Swallow
orbspa1,Orange-billed Sparrow
flrtan1,Flame-rumped Tanager
bugtan,Blue-gray Tanager
bahtan1,Bay-headed Tanager
blbgra1,Blue-black Grassquit
tbsfin1,Thick-billed Seed-Finch
butsal1,Buff-throated Saltator
blwsal1,Black-winged Saltator
refspi1,Red-faced Spinetail
rumfly1,Rusty-margined Flycatcher
houwre4,Southern House Wren
ecuthr1,Ecuadorian Thrush
paltan1,Palm Tanager
banana,Bananaquit
compot1,Common Potoo
lstswi1,Lesser Swallow-tailed Swift
whnjac1,White-necked Jacobin
whwher1,White-whiskered Hermit
gretho1,Green Thorntail
grcbri1,Green-crowned Brilliant
crowoo1,Crowned Woodnymph
rtlhum,Rufous-tailed Hummingbird
andeme1,Andean Emerald
sunbit1,Sunbittern
categr1,Western Cattle-Egret
rufmot1,Rufous Motmot
spowoo1,Spotted Woodcreeper
stfgle1,Scaly-throated Foliage-gleaner
scptyr1,Scale-crested Pygmy-Tyrant
tortyr1,Torrent Tyrannulet
wewpew,Western Wood-Pewee
acafly,Acadian Flycatcher
watjac1,Wattled Jacana
galpen1,Galapagos Penguin
audshe3,Galapagos Shearwater
magfri,Magnificent Frigatebird
bfoboo,Blue-footed Booby
chotou1,Choco Toucan
slcfly1,Slaty-capped Flycatcher
blntan1,Blue-necked Tanager
eardov1,Eared Dove
spvear1,Sparkling Violetear
blkvul,Black Vulture
turvul,Turkey Vulture
chcant2,Chestnut-crowned Antpitta
azaspi1,Azara's Spinetail
grethr1,Great Thrush
goreup1,Golden-rumped Euphonia
hoosis1,Hooded Siskin
brvear1,Brown Violetear
fabbri1,Fawn-breasted Brilliant
putwoo1,Purple-throated Woodstar
bkmtou1,Yellow-throated Toucan
thbeup1,Thick-billed Euphonia
thbeup3,Thick-billed Euphonia (Thick-billed)
orbeup1,Orange-bellied Euphonia
goltan1,Golden Tanager
sittan1,Silver-throated Tanager
